po number,vehicle number,departure time
7007396848,กท.78-6744,2022-03-02 11:46:21
7007396895,กท.60-4208,2022-03-02 11:48:27
7007401746,ชม.70-5122,2022-03-02 11:52:37
7007396684,กท.60-4207,2022-03-02 12:01:06
7007396582,กท.79-0644,2022-03-02 12:07:13
7007396735,ฉช.82-7443,2022-03-02 12:27:43
7007401870,ชบ.83-3599,2022-03-02 12:35:24
7007402340,กท.79-8105,2022-03-02 12:45:01
7007401736,กท.77-6494,2022-03-02 12:49:38
7007401933,ชม.70-5124,2022-03-02 12:56:44
7007402506,กท.61-7783,2022-03-02 13:16:20
7007402510,กท.79-2898,2022-03-02 13:18:53
7007402041,กท.75-2786,2022-03-02 13:29:22
7007402096,ชม.70-5299,2022-03-02 13:35:06
7007402146,ชบ.84-7139,2022-03-02 13:40:17
7007402603,นม.70-5434,2022-03-02 13:46:13
7007402297,กท.79-5840,2022-03-02 13:53:30
7007402394,กท.79-1812,2022-03-02 14:08:07
7007402768,กท.79-3156,2022-03-02 14:12:40
7007396922,กท.79-0641,2022-03-02 14:18:55
7007402397,กท.79-5841,2022-03-02 14:30:13
7007402981,ชบ.71-4792,2022-03-02 14:37:48
7007396557,กท.79-0841,2022-03-02 14:40:13
7007396995,กท.75-1033,2022-03-02 14:57:12
7007402629,กท.75-3041,2022-03-02 15:03:38
7007403070,กท.61-6634,2022-03-02 15:13:11
7007399520,ฉช.82-3201,2022-03-02 15:25:30
7007402515,กท.79-8993,2022-03-02 15:37:42
7007403150,นม.70-6737,2022-03-02 15:39:13
7007396940,กท.78-1149,2022-03-02 15:39:38
7007396741,กท.79-1830,2022-03-02 15:44:01
7007402064,กท.77-8134,2022-03-02 15:53:49
7007403015,ฉช.81-3257,2022-03-02 15:58:46
7007403135,นม.70-7144,2022-03-02 16:16:52
7007396719,ฉช.82-8346,2022-03-02 16:17:00
7007403142,นม.70-6721,2022-03-02 16:25:28
7007403186,ชม.70-5421,2022-03-02 16:33:30
7007403227,ชบ.82-4190,2022-03-02 16:44:57
7007396729,กท.60-4205,2022-03-02 16:48:50
7007400192,กท.79-0643,2022-03-02 16:51:49
7007402867,กท.77-9738,2022-03-02 16:58:16
7007396926,กท.79-0644,2022-03-02 17:07:43
7007396700,กท.79-0144,2022-03-02 17:23:52
7007397004,กท.79-5578,2022-03-02 17:41:44
7007402804,ฉช.82-7443,2022-03-02 17:53:55
7007403473,รย.71-2638,2022-03-02 17:54:59
7007396963,กท.77-8133,2022-03-02 18:11:03
7007402133,กท.79-1961,2022-03-02 18:18:33
7007404584,กท.61-7782,2022-03-02 18:24:13
7007403630,กท.79-3259,2022-03-02 18:32:11
7007402798,กท.79-2717,2022-03-02 18:40:55
7007403042,ฉช.81-4230,2022-03-02 19:00:41
7007403045,กท.79-0644,2022-03-02 19:13:55
7007404153,รย.81-6767,2022-03-02 19:20:43
7007403283,กท.78-7993,2022-03-02 19:22:55
7007404594,กท.79-8107,2022-03-02 19:30:57
